"Step","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca0-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MAX"
"2429","1090.6642","1090.6642","1090.6642","1368.0807","1368.0807","1368.0807"
"2442","1109.3252","1109.3252","1109.3252","1376.258","1376.258","1376.258"
"2455","1111.0789","1111.0789","1111.0789","1381.9392","1381.9392","1381.9392"
"2468","1111.293","1111.293","1111.293","1365.255","1365.255","1365.255"
"2481","1104.9995","1104.9995","1104.9995","1402.3315","1402.3315","1402.3315"
"2494","1126.006","1126.006","1126.006","1427.1045","1427.1045","1427.1045"
"2507","1141.2","1141.2","1141.2","1402.8617","1402.8617","1402.8617"
"2520","1130.5521","1130.5521","1130.5521","1414.4236","1414.4236","1414.4236"
"2533","1144.5702","1144.5702","1144.5702","1432.4291","1432.4291","1432.4291"
"2546","1157.7286","1157.7286","1157.7286","1401.9695","1401.9695","1401.9695"
"2559","1159.359","1159.359","1159.359","1468.0638","1468.0638","1468.0638"
"2572","1161.4872","1161.4872","1161.4872","1422.7231","1422.7231","1422.7231"
"2585","1183.8938","1183.8938","1183.8938","1392.2937","1392.2937","1392.2937"
"2598","1185.417","1185.417","1185.417","1456.9265","1456.9265","1456.9265"
"2611","1195.9092","1195.9092","1195.9092","1407.9653","1407.9653","1407.9653"
"2624","1191.7476","1191.7476","1191.7476","1468.1232","1468.1232","1468.1232"
"2637","1218.6348","1218.6348","1218.6348","1451.7379","1451.7379","1451.7379"
"2650","1187.3345","1187.3345","1187.3345","1482.319","1482.319","1482.319"
"2663","1230.5404","1230.5404","1230.5404","1511.1042","1511.1042","1511.1042"
"2676","1228.2224","1228.2224","1228.2224","1501.5195","1501.5195","1501.5195"
"2689","1221.3064","1221.3064","1221.3064","1532.1587","1532.1587","1532.1587"
"2702","1242.8773","1242.8773","1242.8773","1434.697","1434.697","1434.697"
"2715","1241.353","1241.353","1241.353","1490.8193","1490.8193","1490.8193"
"2728","1247.4674","1247.4674","1247.4674","1493.0024","1493.0024","1493.0024"
"2741","1232.6406","1232.6406","1232.6406","1480.7523","1480.7523","1480.7523"
"2754","1248.1426","1248.1426","1248.1426","1447.5831","1447.5831","1447.5831"
"2767","1255.6924","1255.6924","1255.6924","1546.2738","1546.2738","1546.2738"
"2780","1277.307","1277.307","1277.307","1562.2429","1562.2429","1562.2429"
"2793","1276.4766","1276.4766","1276.4766","1561.5232","1561.5232","1561.5232"
"2806","1289.4972","1289.4972","1289.4972","1512.2113","1512.2113","1512.2113"
"2819","1281.2045","1281.2045","1281.2045","1578.8574","1578.8574","1578.8574"
"2832","1265.9933","1265.9933","1265.9933","1563.491","1563.491","1563.491"
"2845","1258.5958","1258.5958","1258.5958","1638.3278","1638.3278","1638.3278"
"2858","1300.1129","1300.1129","1300.1129","1564.2852","1564.2852","1564.2852"
