"Step","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean__MAX"
"414","274.33553333333333","272.3704","275.4651","267.7464233333333","267.00952","269.033","201.68007333333333","198.52104","207.61462"
"427","275.46809","272.58057","279.4492","271.8761","269.39392","276.15546","206.02157","198.75734","212.87616"
"440","278.5102533333333","275.81134","282.47775","275.41234333333335","271.94778","278.64255","211.12660666666667","209.61691","213.01842"
"453","280.33368666666667","279.10184","281.63242","278.04138333333333","275.93286","279.18442","214.46417333333332","213.2786","215.93358"
"466","282.05665999999997","279.32446","284.71384","282.2535066666667","280.81995","283.1151","220.32660333333334","214.16995","223.63026"
"479","287.5660066666667","285.89005","290.8073","288.1701033333334","284.25555","291.07278","221.60398333333333","217.85262","223.52838"
"492","289.0965566666667","286.32907","291.1628","290.2671533333333","287.5748","294.57806","226.65956333333335","223.04973","229.50052"
"505","293.95419000000004","291.706","296.22797","292.6982","289.11246","295.2004","230.09844333333334","225.8764","232.42686"
"518","295.30498000000006","289.06464","300.6618","295.24947000000003","294.5946","295.73444","232.50432666666666","230.45094","233.86113"
"531","297.69031","296.13745","298.86063","297.03775666666667","294.01447","299.9593","235.91139666666666","235.08035","236.81755"
"544","300.18146","298.84442","301.86966","303.53425999999996","301.70648","306.8263","238.84373666666667","235.85379","242.07497"
"557","302.14539666666667","300.33807","304.36368","303.78293666666667","299.38528","306.9678","243.12048000000001","238.42432","246.33679"
"570","304.80193333333335","301.75092","306.73294","306.36194","303.74268","307.84702","246.02958666666666","243.59361","247.4733"
"583","308.4342766666667","306.547","309.87085","309.5476366666667","306.2247","313.00815","249.19382","247.10677","251.27202"
"596","309.41074000000003","305.98557","312.9528","310.1253966666667","309.9784","310.31335","252.56866333333335","249.19908","255.99858"
"609","311.1116133333333","308.63614","312.94693","316.3416","313.24374","319.10168","254.85528666666664","252.84856","257.2184"
"622","313.55761333333334","312.43417","315.23727","316.03478333333334","313.31107","319.07352","257.71302","253.95859","259.81387"
"635","315.5340166666667","311.27844","319.02527","320.66271666666665","318.88394","321.66238","261.2084566666667","257.31912","265.74167"
