"Step","env_name: myoLegHillyTerrainWalkT2A-v0 - rollout/ep_rew_mean","env_name: myoLegHillyTerrainWalkT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegHillyTerrainWalkT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegHillyTerrainWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegHillyTerrainWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegHillyTerrainWalkT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegHillyTerrainWalk-v0 - rollout/ep_rew_mean","env_name: myoLegHillyTerrainWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegHillyTerrainWalk-v0 - rollout/ep_rew_mean__MAX"
"180","182.334205","179.61098","185.05743","186.75862999999998","184.71425","188.80301","110.48150033333333","107.121155","113.905876"
"193","189.354445","184.58221","194.12668","191.0147","190.99551","191.03389","119.46733","117.79211","120.99487"
"206","197.52781","196.90364","198.15198","199.901845","199.3471","200.45659","123.88486333333333","123.5449","124.06887"
"219","204.682005","202.6165","206.74751","201.37498499999998","199.23581","203.51416","126.67894666666666","125.4002","128.77829"
"232","210.739265","210.37729","211.10124","210.61266","209.76682","211.4585","133.18662333333333","127.72543","137.0637"
"245","215.88425999999998","215.31752","216.451","216.200675","213.70645","218.6949","142.22377666666668","136.31667","145.89099"
"258","221.358835","218.78485","223.93282","219.422795","218.1766","220.66899","145.00185000000002","141.59763","150.04591"
"271","227.38952999999998","224.2035","230.57556","224.969565","222.3602","227.57893","155.84615666666664","145.89307","160.8251"
"284","236.44957","235.39548","237.50366","232.70300500000002","232.49721","232.9088","160.84231","160.48131","161.23123"
"297","241.40732500000001","240.70415","242.1105","236.566855","233.39102","239.74269","165.25846","161.24792","169.45793"
"310","249.480325","245.32004","253.64061","243.91478","242.70613","245.12343","170.8242766666667","168.54866","172.4524"
"323","252.875745","249.16986","256.58163","243.830565","243.56047","244.10066","174.12173999999996","171.28748","178.09753"
"336","259.74244999999996","256.5342","262.9507","250.95200999999997","250.61368","251.29034","179.45318333333333","178.44244","179.97438"
"349","264.97711000000004","264.50537","265.44885","256.886565","256.67685","257.09628","183.33842","180.65819","185.65732"
"362","268.224835","268.03027","268.4194","263.20404","262.58084","263.82724","187.07801666666668","185.69403","188.1562"
"375","273.3145","273.009","273.62","268.358305","268.01904","268.69757","191.38251666666667","189.28471","192.47487"
"388","281.07805","280.48007","281.67603","272.439655","271.43973","273.43958","193.37439000000003","191.46802","195.10753"
"401","285.7069","285.0265","286.3873","276.388875","275.50565","277.2721","197.91806333333332","194.51465","200.84087"
"414","286.559935","285.63495","287.48492","278.72131","277.83972","279.6029","203.07123333333334","199.9462","205.3475"
"427","294.3351","294.13504","294.53516","286.88069","286.09253","287.66885","203.60495333333333","202.52054","204.5576"
"440","296.32908499999996","295.27792","297.38025","287.887915","286.6858","289.09003","206.14199666666664","204.53554","208.28555"
"453","302.35303","301.71332","302.99274","293.33731","291.25714","295.41748","214.26478666666665","212.12566","216.81154"
"466","301.36850000000004","301.13287","301.60413","296.26428","293.88092","298.64764","214.08046666666667","212.97417","214.74585"
"479","306.73135","306.54922","306.91348","301.06263","299.19266","302.9326","222.61311333333333","220.30785","224.60754"
"492","308.3633","307.13004","309.59656","304.68226000000004","303.2502","306.11432","221.0193433333333","220.63528","221.40938"
"505","313.21411","312.3482","314.08002","308.702765","306.55643","310.8491","226.83903999999998","225.87195","228.38257"
"518","315.178545","314.62674","315.73035","313.836075","313.12778","314.54437","231.31659666666667","229.59334","232.5943"
"531","317.98037999999997","316.01288","319.94788","317.889485","316.9394","318.83957","236.34762","233.64784","237.7981"
"544","321.02590499999997","320.35696","321.69485","320.560315","320.1979","320.92273","242.00047000000004","240.19905","243.1374"
"557","324.343995","323.91644","324.77155","321.220875","319.3158","323.12595","244.18558666666664","239.08478","247.81871"
"570","328.516415","327.88525","329.14758","325.840825","323.2938","328.38785","248.28576999999999","244.29291","252.33357"
"583","327.627485","327.5595","327.69547","333.43035","333.3302","333.5305","250.25267666666664","247.25156","253.10248"
"596","332.033525","331.14398","332.92307","333.694435","332.52567","334.8632","256.68590333333333","254.35934","257.97452"
"609","335.08414000000005","334.95093","335.21735","336.700065","335.49973","337.9004","259.86926","257.9031","261.08224"
"622","338.52764","337.9517","339.10358","341.64083","339.1439","344.13776","260.79796000000005","257.1538","264.30115"
"635","338.97186","338.16708","339.77664","344.57736","343.75714","345.39758","264.82185000000004","262.20392","266.89395"
"648","342.84088499999996","341.3592","344.32257","348.909365","346.54355","351.27518","269.26948","265.60504","273.0874"
"661","344.17395999999997","342.9421","345.40582","350.66274999999996","349.66168","351.66382","275.6945666666666","273.5558","279.08652"
"674","347.27830500000005","346.43497","348.12164","355.009835","351.8235","358.19617","278.52407999999997","276.3722","282.74722"
